Model,"Average F-Score","Overall F-Score","Incomplete Count"
"gemini-3-pro-image-preview","0.8565547993845974","0.9613900350888930",0
"gemini-3-pro-preview","0.8514185448098316","0.9587215245712752",0
"gemini-3-flash-preview","0.85059261989712860","0.9667128470750866",0
"claude-opus-4-5-20251101-v1:0","0.8505159708458223","0.9665545461921107",117
"gpt-4.1-2025-04-14","0.8416537470453893","0.9670474837255288",0
"claude-opus-4-20250514-v1:0","0.8377833979514349","0.9561246788732896",2
"gemini-2.5-pro","0.8364710941836640","0.9627615114593671",0
"gpt-5.2-2025-12-11","0.8359384399746738","0.9602393239517736",0
"1-2025-11-13","0.8354775413109888","0.9538999214467255",0
"gpt-5.1","0.8349281639615277","0.9539318358407947",0
"gemini-2.5-flash","0.8338313230237234","1.0000000000000000",0
"claude-opus-4-1-20250805-v1:0","0.8259398204307489","0.9561948827819468",0
"claude-sonnet-4-5-20250929-v1:0","0.8243094751255468","0.9491362557951057",0
"claude-3-7-sonnet-20250219-v1:0","0.821889047416724","0.9495300519976942",0
"claude-sonnet-4-20250514-v1:0","0.8204292508097615","0.9564636115210247",21
"gemini-2.5-flash-lite","0.6769702169004377","1.0",8615
"gpt-5-2025-08-07","0.015238327441180055","0.0",465
"gpt-5.2-pro-2025-12-11","0.015186000872561766","0.0006876313023866223",1
"gpt-5-mini-2025-08-07","0.014856081708449397","0.0",0
"gpt-5-nano-2025-08-07","0.014631401238041642","0.0",6945
"claude-3-haiku-20240307-v1:0","0.0","0.0",5525
"gemini-2.0-flash","0.0","0.0",8615
"gemini-2.0-flash-lite","0.0","0.0",7493
